User,Tweet
The White House,LIVE: Press Briefing with Coronavirus Task Force https://t.co/kszgnReztL
isentoes2,"Após governo americano dizer que China escondeu informações sobre o Coronavírus, Trump acusa OMS de dar muita atenção à China. Deputados republicanos pedem que EUA deixe de financiar a OMS e reforçam que o diretor-geral Tedros Adhanon, renuncie o cargo. Trump é a nossa esperança."
Adam Schefter,Twitter CEO Jack Dorsey pledged $1 billion toward efforts aimed at fighting the coronavirus pandemic.
Kyle Griffin,"House Armed Services Chairman Adam Smith: ""The president is not bringing talent to the challenge. He is bringing suck-ups to the challenge."" https://t.co/OeHU772hpT"
Kamala Harris,"Black communities disproportionately suffer from pre-existing conditions, increasing coronavirus risk.

20% more likely to have asthma.
40% more likely to have high blood pressure.
Black women are 3x more likely to have lupus.

Racial justice is at the forefront of this crisis."
Joe Hill,"Just saw the Coronavirus referred to as Captain Trumps.
😮"
Natasha Bertrand,"Scoop: A sailor assigned to the USS Nimitz tested positive for Covid-19 last week after experiencing symptoms while on board, making the Nimitz the 4th carrier to report a positive case. The positive case comes as the ship is getting ready to deploy. https://t.co/hzWo7ojMoj"
Carmelo Neto,"URGENTE!

Juiz federal Catta Preta Neto, da 4ª Vara Cível de Brasília, decide bloquear dinheiro dos fundos partidário e eleitoral e encaminhar para o combate ao coronavírus.

Baita notícia, vitória de todos nós. Parabéns pela decisão, sr. juiz. O Brasil agradece!"
John Solomon,"Trump continues to clean house inside watchdog bureaucracy, removes acting Pentagon inspector general overseeing coronavirus spending https://t.co/Kqb3N6sQtq"
MinSaludCol,"#Reporte 🦠 Confirmamos 201 nuevos casos de coronavirus y 4 fallecidos en Colombia, para un total de 1.780 pacientes con COVID-19 y 50 muertes en el país. Los detalles: https://t.co/SiKTpTCQ3W https://t.co/os636CUktX"
Jon Worth,"“Between Feb 13 and Mar 30, Britain missed a total of eight conference calls or meetings about the coronavirus between EU heads of state or health ministers”

This is an extraordinary &amp; brilliantly researched piece

https://t.co/faypHhwuaN"
Tea Pain,"Flea Markets are run with more integrity.

https://t.co/XRXMqsoDHX"
Iván Espinosa de los Monteros,"Entristece ver cómo este artículo del NY Times perjudica la imagen de España, citando cómo el gobierno ignoró las señales de alarma al principio, y su opacidad después... pero no porque sea mentira; sino porque es verdad
https://t.co/H4Xj9Zassu"
Lady Gaga,Calling all developers 👩‍💻🧑‍💻👨‍💻 Now’s the time to get behind your keyboard and help fight #COVID19. Join the @IBM 2020 #CallforCode Global Challenge now https://t.co/PMUu3ntcI5
NCDC,"Sixteen new cases of #COVID19 have been reported in Nigeria: 10 in Lagos, 2 in the FCT, 2 in Oyo, 1 in Delta and 1 in Katsina

As at 09:30 pm 7th April there are 254 confirmed cases of #COVID19 reported in Nigeria. Fourty-four have been discharged with six deaths https://t.co/UlDvzM3cUZ"
Matt Couch 🎙,BREAKING: Rand Paul Has Officially Beat the CoronaVirus and Tested Negative! Congrats Senator!
Osmar Terra,O número 2 da Organização Mundial da Saúde admite publicamente o que venho avisando há muito tempo.O contágio maior está acontecendo dentro de casa com os portadores assintomáticos do coronavírus! Por esse e outros motivos a quarentena forçada está piorando a epidemia !! https://t.co/MWxiydfhW8
Rex Chapman🏇🏼,"This young man is Avi Schiffmann. He’s just 17. But he built a site that tracks Coronavirus numbers. 

He was offered $8m to place ads on the site. 

He turned it down. Not all heroes wear capes.🌎❤️https://t.co/rinMT5N2Pn"
Daniel Dale,"Trump: “We really inherited bad tests. These are horrible tests. And it was broken.”

Epidemiologists: 

“Doesn’t make sense.”

“Absurd.”

“He is lying because he is trying to shift blame to others, even if the attempt is totally nonsensical.”

https://t.co/JUMlQB0cah"
Elizabeth Warren,"This is outrageous. Americans are being asked to choose between participating in our democracy and keeping themselves safe. In the next coronavirus relief package, I’ll fight for a plan that ensures the health and safety of voters and protects our elections. https://t.co/6KHsrXMb64"
Daniel Dale,"Trump has said four times since last week that his administration inherited obsolete or flawed tests. 

This makes no sense whatsoever. This coronavirus was identified this year. The faulty tests were developed this year. 

https://t.co/JUMlQB0cah"
Bernie Sanders,"It is unacceptable that African Americans are getting sick and dying from the coronavirus at such disproportionately high rates.
 
We must solve the horrific racial disparities in health that we have in this country. https://t.co/dtrCYwCqfT"
Kyle Griffin,"Schumer on Trump sidelining Acting Inspector General Glenn Fine: ""Trump is abusing the coronavirus pandemic to eliminate honest and independent public servants because they are willing to speak truth to power and because he is so clearly afraid of strong oversight."""
Carole Cadwalladr,"This is hugely impressive. Gordon Brown has marshalled 205 world leaders to sign an open letter calling for a global response to the Covid crisis 👏👏👏
@OfficeGSBrown 

https://t.co/j5N95MmawK"
The Hollywood Reporter,"Film and TV music producer Hal Willner, who worked many years on #SaturdayNightLive, has died at age 64 apparently due to coronavirus complications, according to multiple reports https://t.co/sM76mmjy3i"
Rafael Correa,“Un Tribunal de la Corte Nacional de Justicia de Ecuador encontró una forma de correr el eje de atención sobre los cadáveres regados en las calles de Guayaquil luego de que la pandemia del coronavirus saturara el sistema sanitario.” https://t.co/CywjbCECUF
