User,Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Judd Legum,11.03.20 13:25,"TRUMP TWO WEEKS AGO: ""You have 15 people [in the US w/coronavirus], and the 15 within a couple of days is going to be down to close to zero""

TODAY: There are 1,039 confirmed cases of coronavirus in the United States",,https://www.twitter.com/user/status/1237731484418662405,5503,19357,950.17
CAPITÁN ADOBO,11.03.20 13:19,"35 grados un 11 de marzo.

Los sevillanos no podemos poner ya más de nuestra parte para acabar con el coronavirus.",,https://www.twitter.com/user/status/1237729790553133056,2117,4978,100.28
Diamond and Silk®,11.03.20 13:18,"It looks like the Democrats, along with the left-wing media, are going to try to use the Coronavirus to weaponize it against the 2020 Election Process!",,https://www.twitter.com/user/status/1237729627415572482,1603,6231,2729.58
Sebastián Campos C.,11.03.20 13:17,"Gente, con todo esto del coronavirus, hay pasajes a CANCÚN desde 370usd!! 😱

Con coronavirus pero en el caribe baby 😎👋🏻✈️",,https://www.twitter.com/user/status/1237729292236226560,1510,5002,12.47
David Cay Johnston,11.03.20 13:16,"Brooklyn teacher, returning from Italy and feeling ill, seeks coronavirus test at NYU Langone hospital. Erin McCarthy was denied a test and then billed more than $10,000. 

Stuff you can't make up.....

https://t.co/T9XFEAiyWn",,https://www.twitter.com/user/status/1237729172644073472,4924,6380,435.53
Georgia💛x,11.03.20 13:14,"Italy: on lockdown bc of coronavirus 
China: their aggressive response has slowed down coronavirus 
Australia: announces a 1.6 billion health package in response to coronavirus
UK: Sing happy birthday while washing your hands x",,https://www.twitter.com/user/status/1237728516663398402,29346,188955,9.62
Lenilda Luna 🇨🇺🇵🇸🇧🇷 🚩 🆙️8️⃣0️⃣,11.03.20 13:09,"Cuba anuncia vacina contra o Coronavírus 

https://t.co/HCAuh8u8Ot",,https://www.twitter.com/user/status/1237727402769428481,3215,17909,22.2
Isabel Díaz Ayuso,11.03.20 13:04,"🔴Importante:

La Comunidad de Madrid no ha valorado en ningún momento un supuesto cierre de la región.

Rogamos a los medios de comunicación y a los ciudadanos no atender a las noticias falsas. Nos jugamos mucho todos. 

#Coronavirus",,https://www.twitter.com/user/status/1237725969580003328,6005,11628,306.82
Donald Trump Jr.,11.03.20 13:01,Credit where credit is due. Everyone should be working this way to combat the spread of Coronavirus rather to try to score cheap political points. https://t.co/5OANdy3grH,,https://www.twitter.com/user/status/1237725259970875392,2169,9358,8877.61
Frank Figliuzzi,11.03.20 13:00,#Pandumbic @Trevornoah https://t.co/swC63qqIfB #COVID19 #coronavirus,,https://www.twitter.com/user/status/1237725019486089217,1184,2302,752.5
Dr. Dena Grayson,11.03.20 12:59,"🚨BREAKING: #Germany’s Chancellor Angela Merkel says that the #coronavirus is “likely to infect 70% of the German population.”

Over the next year, it’s likely that at least this proportion of people here &amp; abroad will be infected.

This is what a #pandemic looks like.

#COVID19 https://t.co/BlZHL2rYhd",,https://www.twitter.com/user/status/1237724868642312205,1064,1641,714.1
ฟจ𝒇𝒐𝒓𝒔𝒂𝒍𝒆,11.03.20 12:58,คือขอยืมพื้นที่แท็กหน่อยนะคะ ไม่ไหวแล้วกับป้าข้างบ้านคนนี้หลายครั้งหลายรอบมาก กับคนในซอยคือเอือมกับพฤติกรรมแกมาก ทั้งคนที่ย้ายออกไปก่อนเรา ตั้งแต่ก่อนติดกล้องวงจรปิด จนต้องติดเพราะไม่ไหวกับพฤติกรรมแกจริงๆ(มีต่อ) #ของมันต้องมีทุกบ้าน #COVIDー19 #ขบวนเสด็จ https://t.co/mqffqmcChS,,https://www.twitter.com/user/status/1237724627826167810,7794,695,0.08
Bridgie Merritt,11.03.20 12:58,You know why I’m not so worried about coronavirus? If shit was about to hit the fan the gvt wouldn’t want the Public panicked they would be  keeping us distracted and in the dark. The way people are panicking now shows me COVID19 IS the distraction.,,https://www.twitter.com/user/status/1237724543776518149,9156,58124,13.51
Napoléon,11.03.20 12:54,"#COVID19 Sur BFMTV, le président de la fédération des médecins de France dénonce les nombreux mensonges de Jérôme Salomon et du gouvernement sur l'accès au test du #Coronavirus.
Ruth #Elkrief pète les plombs, le coupe et exige qu'il fasse des compliments sur la gestion de Macron! https://t.co/WNN5nFe3nX",,https://www.twitter.com/user/status/1237723654080823296,1326,1485,77.81
SisQó,11.03.20 12:54,The most effective way to wash your hands 😂 stay clean my friends #coronavirus #COVID https://t.co/k1rkcoGyNg,,https://www.twitter.com/user/status/1237723453463187456,2726,5518,223.25
Oskar,11.03.20 12:53,"*epidemia de coronavirus*
-Boomers: *saquean el mercadona*
-Millenials: A ver si me contagio y me muero ya jajaaj
-Gen z: https://t.co/qtU4dhxGnI",,https://www.twitter.com/user/status/1237723402431053831,41135,131449,0.47
Broly ⭐️⭐️,11.03.20 12:53,« Le coronavirus a été CRÉÉ pour « nettoyer » la terre surpeuplée. » https://t.co/k3PSOq45r9 https://t.co/w7mWg4qnT9,,https://www.twitter.com/user/status/1237723395502022656,2362,3680,2.39
CLAUDIA es CLAUDIA,11.03.20 12:50,"Me contó alguien que sabe mucho de el tema que la gente en México está enfermando  y muriendo por el  coronavirus pero le llaman neumonía atípica al diagnóstico . Digo, para no alarmar , más vale maquillar .",,https://www.twitter.com/user/status/1237722582910226436,2071,5236,49.26
Sky Sports News,11.03.20 12:50,"Nottingham Forest confirm all players, staff and officers have been tested for the coronavirus and all results have come back negative.",,https://www.twitter.com/user/status/1237722511892193280,1259,11776,12261.43
World Health Organization (WHO),11.03.20 12:48,"These are 7 simple steps to protect yourself and others from #COVID19.

 👉 https://t.co/RU2gRs6jmc #coronavirus https://t.co/TNAw5YrP0u",,https://www.twitter.com/user/status/1237721991471382528,34409,40641,14169.92
Yashar Ali 🐘,11.03.20 12:47,"One of the first Americans to be diagnosed with Coronavirus (a 48-year-old man from Rhode Island) shares his experience with WSJ

“It almost killed me. It’s alarming when I hear people minimize it as a cold. It was no simple cold for me.” 

https://t.co/fAvsoMGQO4 https://t.co/qnNEB22b4A",,https://www.twitter.com/user/status/1237721786684325889,1743,3577,1649.51
Paul Joseph Watson,11.03.20 12:47,"An Islamic scholar who said the coronavirus was “Allah’s punishment” for China’s treatment of Muslims now has coronavirus.

https://t.co/t39bNfZPq4",,https://www.twitter.com/user/status/1237721748365283331,4724,15008,2504.36
The White House,11.03.20 12:44,"Every single person should be participating in Coronavirus response by taking the same simple precautions every day.

More from Ambassador Birx: https://t.co/8gcLkyOTIk",,https://www.twitter.com/user/status/1237721152371523585,1278,4847,37544.38
e,11.03.20 12:44,the coronavirus outbreak in Turkey https://t.co/LUpOLFjSZd,,https://www.twitter.com/user/status/1237721054329610240,53931,208546,12.04
𝐅𝐈𝐒𝐇𝐒𝐓𝐈𝐂𝐊𝐒™,11.03.20 12:44,Coronavirus my get my district to cancel school !!! https://t.co/I8pvBgfzDN,,https://www.twitter.com/user/status/1237720976223350784,1109,8907,3.42
okdiario.com,11.03.20 12:43,El Gobierno reconoce que horas antes del 8M sabía que el coronavirus se había disparado en Madrid https://t.co/BuRFl4sKdx,,https://www.twitter.com/user/status/1237720827518504960,3533,3812,541.41
Dr. Dena Grayson,11.03.20 12:42,"⚠️A doctor in #Wuhan is speaking out after several of her colleagues DIED from the #coronavirus.

“If I had known what was to happen, I would not have cared about the reprimand. I would have f***ing talked about it to whoever, wherever I could.”

#COVID19 
https://t.co/IpCd5LBQOQ",,https://www.twitter.com/user/status/1237720547154329601,2361,3974,654.59
José Zaragoza,11.03.20 12:42,"Es la sanidad pública la que nos protege del #coronavirus
Esa sanidad pública que arrasa la derecha donde gobierna.
Para favorecer a la sanidad privada.
Esa sanidad privada que no está ni se la espera estos días.",,https://www.twitter.com/user/status/1237720542658125825,1349,2962,114.35
The New York Times,11.03.20 12:40,"Breaking News: The coronavirus is likely to infect up to 70% of the German population, Chancellor Angela Merkel said https://t.co/bpi5QuoP3o",,https://www.twitter.com/user/status/1237720137207250944,1429,2017,72034.18
Matthew Gertz,11.03.20 12:35,"Screenshots from last night's Fox News and Fox Business coverage of coronavirus heavy on Dear Leader-ism and media blame. 

Yes, that's a photo from the Benghazi attacks in the Ingraham one. https://t.co/5KDuGcl544",,https://www.twitter.com/user/status/1237718882695208960,1253,3416,329.77
B/R Football,11.03.20 12:35,"OFFICIAL: After reportedly testing negative for coronavirus yesterday, Kylian Mbappe makes PSG's squad for today's #UCL game vs. Borussia Dortmund https://t.co/18wAa7Z2Q2",,https://www.twitter.com/user/status/1237718861094555648,1758,16383,3651.5
Thomas Porcher,11.03.20 12:33,"En 10 ans, l'Italie a réduit de 37 Mrds € les dépenses pour son système de santé soit une perte de 70000 lits, 359 fermetures de services et de nombreux petits hôpitaux abandonnés. Oui l'austérité tue. Va falloir que certains se réveillent. 
#COVID19 https://t.co/07CrSyg6iS",,https://www.twitter.com/user/status/1237718206179090434,3109,4836,235.57
