Name,User,Location,Total tweets,Retweets,Images,Links,Chats,Text tweets,Impacts,Followers,User value,Tweets value
@BarackObama,Barack Obama,"Washington, DC",13,0,0,12,5,1,1489476161,115296834,150464.37,1466166.07
@Cristiano,Cristiano Ronaldo,"Turim, Piemonte",1,0,1,1,0,0,83133379,83133379,111363.1,146999.29
@ladygaga,Lady Gaga,,2,0,0,2,0,0,162436360,81218183,109802.6,241565.72
@realDonaldTrump,Donald J. Trump,"Washington, DC",55,0,3,11,1,42,4100089350,76238523,103166.11,5644215.11
@selenagomez,Selena Gomez,Los Angeles,1,0,0,1,0,0,60528525,60528525,83860.78,92246.86
@Twitter,Twitter,Everywhere,1,0,0,0,0,1,57632582,57632582,80004.26,80004.26
@cnnbrk,CNN Breaking News,Everywhere,39,0,37,39,0,0,2221815948,57275791,80154.93,4071295.94
@narendramodi,Narendra Modi,India,29,0,4,27,2,9,1571433426,55084797,76397.03,2236154.2
@shakira,Shakira,Barranquilla,1,0,1,1,0,0,52169436,52169436,73184.44,96603.46
@BillGates,Bill Gates,"Seattle, WA",10,0,2,10,1,0,493504705,49492309,69946.58,736509.39
@CNN,CNN,,193,0,32,186,0,0,8960405406,46898844,66787.67,14461002.89
@nytimes,The New York Times,New York City,134,0,25,133,16,0,6136412251,46081874,66134.95,8976824.05
@BBCBreaking,BBC Breaking News,"London, UK",52,0,6,52,2,0,2194357043,42604506,61255.28,3425028.54
@SrBachchan,Amitabh Bachchan,"Mumbai, India",1,0,1,0,0,0,40613193,40613193,57985.11,69582.13
@NiallOfficial,Niall Horan,"Mullingar,Westmeath,Ireland",1,0,0,0,0,1,39469616,39469616,57036.7,57036.7
@SportsCenter,SportsCenter,,22,0,20,2,0,0,800196305,36468971,52702.22,1377490.85
@NASA,NASA,,1,0,0,1,0,0,35758385,35758385,52094.19,57303.61
@espn,ESPN,,4,0,3,1,0,0,140604135,35213207,51047,240040.68
@imVkohli,Virat Kohli,,2,0,0,0,1,1,68258110,34213243,49498.41,59176.76
@LiamPayne,Liam,,2,0,1,1,0,1,65677627,32838814,48279.15,112007.63
@elonmusk,Elon Musk,,3,0,0,2,1,1,97827343,32725028,47845.39,110541.26
@sachin_rt,Sachin Tendulkar,"ÜT: 18.986431,72.823769",4,0,3,0,0,1,127901302,31975326,46648.98,214585.32
@NBA,NBA,,1,0,1,1,0,0,30242570,30242570,44545.43,58799.97
@ConanOBrien,Conan O'Brien,Los Angeles,2,0,0,0,0,2,57203251,28601626,42572.87,85145.74
@iHrithik,Hrithik Roshan,,1,0,1,0,0,0,27873081,27873081,41154.07,49384.88
@BBCWorld,BBC News (World),"London, UK",31,0,21,31,0,0,846323103,27604744,41485.18,1590391.28
@HillaryClinton,Hillary Clinton,"New York, NY",17,0,1,14,0,3,460990072,27312721,40579.49,750744.23
@deepikapadukone,Deepika Padukone,,1,0,1,1,0,0,26950730,26950730,39949.47,52733.3
@NatGeo,National Geographic,Global,1,0,0,1,0,0,23840800,23840800,36049.89,39654.88
@arrahman,A.R.Rahman,"Chennai, India",1,0,0,1,0,0,22599001,22599001,33991.6,37390.76
@Google,Google,"Mountain View, CA",1,0,1,0,0,0,21869816,21869816,32918.91,39502.69
@Reuters,Reuters,Around the world,39,0,39,35,0,0,839711657,21694777,33521.29,1697984.58
@ManUtd,Manchester United,"Manchester, England",1,0,0,0,0,1,21655200,21655200,32779.8,32779.8
@WhiteHouse,The White House,"Washington, D.C.",126,0,81,56,1,2,2636277818,21431960,32416.65,4666202.63
@ricky_martin,Ricky Martin,Puerto Rico,3,0,2,2,0,0,61489962,20498915,31302.78,113338.47
@DalaiLama,Dalai Lama,"Dharamsala, India",1,0,0,1,0,0,19339548,19339548,29991.11,32990.22
@FoxNews,Fox News,U.S.A.,4,0,0,4,0,0,74848736,18815522,29175.48,127735.48
@AmitShah,Amit Shah,,3,0,1,0,0,2,54356529,18750903,28644.97,88761.97
@CNNEE,CNN en Español,En todas partes,45,0,21,44,0,0,822090905,18417050,28520.25,1528939.63
@Pontifex,Pope Francis,Vatican City,2,0,0,0,0,2,36504003,18299671,28178.69,56224.53
@ArvindKejriwal,Arvind Kejriwal,India,7,0,2,3,0,2,120829464,17805054,27349.5,204641.2
@Pontifex_es,Papa Francisco,Ciudad del Vaticano,3,0,0,0,0,3,52594646,17632136,27165.67,81075.79
@WSJ,The Wall Street Journal,"New York, NY",2,0,0,2,0,0,34946334,17548588,27761.16,60836.25
@FALCAO,Radamel Falcao,"Estambul, Turquía",1,0,1,0,0,0,17435637,17435637,26886.61,32263.93
@ImRaina,Suresh Raina🇮🇳,India,2,0,1,0,0,1,34664381,17352348,26655.28,58697.96
@TIME,TIME,,17,0,10,12,0,0,286392880,16949574,26838.54,541896.56
@9GAG,9GAG,Universe,1,0,1,0,0,0,16381677,16381677,25404.39,30485.27
@Forbes,Forbes,"New York, NY",2,0,2,2,0,0,31819280,15909647,25064.02,66168.98
@detikcom,detikcom,"Jakarta, Indonesia",2,0,0,2,0,0,31618553,15857505,24670.57,54125.8
@washingtonpost,The Washington Post,"Washington, DC",66,0,5,64,4,0,1004868387,15397631,24602.45,1698675.48
@ABC,ABC News,New York City / Worldwide,73,0,56,73,1,0,1110681334,15336909,24267.03,2205975.51
@KapilSharmaK9,Kapil Sharma,"Mumbai, India",1,0,1,0,0,0,15188832,15188832,23649.08,28378.9
@elissakh,Elissa,Lebanon | MidEast,1,0,1,0,0,0,14508017,14508017,22723.29,27267.95
@SethMacFarlane,Seth MacFarlane,Los Angeles,1,0,0,1,0,0,14192899,14192899,22447.51,24692.26
@ChelseaFC,Chelsea FC,"London, England",1,0,0,1,0,0,14161224,14161224,22345.67,24580.24
@LFC,Liverpool FC,"Anfield, Liverpool",1,0,0,1,0,0,14130936,14130936,22244.8,24469.28
@CGTNOfficial,CGTN,"Beijing, China",4,0,4,0,0,0,56191718,14049992,22069.69,105947.53
@AP,The Associated Press,Global,35,0,0,35,0,0,486281808,13964810,22590.4,865734.55
@UberFacts,UberFacts,Worldwide!,7,0,0,0,0,7,97547484,13938874,21988.83,153886.35
@Rubiu5,elrubius 🦋,Madrid/Noruega,2,0,1,2,0,0,27770548,13887063,21841.72,52863.68
@neiltyson,Neil deGrasse Tyson,New York City,4,0,2,0,0,2,55002607,13804603,22004.43,96493.73
@FLOTUS,Melania Trump,"Washington, D.C.",14,0,0,6,0,8,190873427,13713137,21600.72,313658.84
@ChrisEvans,Chris Evans,,2,0,0,3,0,0,27173285,13592931,21463.34,47239.13
@johnlegend,John Legend,,1,0,0,1,0,0,13426614,13426614,21295.31,23424.84
@BigHitEnt,BigHit Entertainment,"Seoul, Korea",1,0,0,1,0,0,13233761,13233761,20967.99,23064.79
@RahulGandhi,Rahul Gandhi,"12, Tughlak Lane, New Delhi",13,0,6,4,0,3,164188987,12980178,20508.07,292357.49
@stephenfry,Stephen Fry,"Los Angeles, CA/ London UK",1,0,0,1,0,0,12729783,12729783,20511.82,22563
@XHNews,China Xinhua News,"Headquartered in Beijing, PRC",6,0,6,0,0,0,75854187,12647321,20098.17,144734.29
@SarahKSilverman,Sarah Silverman,state of Palestine ,1,0,0,1,0,0,12601895,12601895,20334.81,22368.29
@timesofindia,The Times of India,New Delhi,2,0,1,1,0,0,25008162,12504081,19886.6,45739.18
@ndtv,NDTV,India,3,0,3,2,0,0,37071088,12390712,19584.81,75573.17
@UN,United Nations,"New York, NY",7,0,7,6,0,0,84694692,12279482,19771.28,177948.2
@RedeGlobo,Globo,,1,0,1,0,0,0,12253387,12253387,19555.55,23466.66
@enews,E! News,"Hollywood, CA",1,0,0,1,0,0,11772966,11772966,18983.98,20882.38
