,rmse,mae
3,2.95569,2.67798
6,2.83429,2.51153
9,2.75243,2.40135
12,2.69416,2.32422
15,2.64633,2.26273
18,2.61047,2.21599
21,2.57807,2.17475
24,2.54794,2.13674
27,2.52041,2.10377
30,2.50128,2.07903
33,2.47578,2.04897
36,2.45733,2.02692
39,2.43847,2.00649
42,2.41601,1.97926
45,2.40008,1.96008
48,2.38648,1.94319
51,2.37497,1.92929
54,2.36210,1.91483
57,2.34982,1.90025
60,2.33921,1.88855
63,2.32830,1.87666
66,2.31953,1.86686
69,2.30813,1.85407
72,2.30488,1.85074
75,2.29917,1.84402
78,2.29321,1.83717
81,2.28701,1.83065
84,2.28120,1.82408
87,2.27717,1.81930
90,2.27328,1.81496
93,2.26877,1.80954
96,2.26337,1.80300
99,2.26051,1.79919
